Taxa,Class,Order,Family,Genus,functional.group,Nitrogen.fixation,Si.demand,Mixotrophy,Colony,Mobility,Pigment,Ind_size,Colony_size,Source,System
Closteriopsis longissima,Chlorophyceae,Chlorellales,Chlorellaceae,Closteriopsis,F,0,0,0,0,0,G,,1000,Cornell,Oneida
Closteriopsis sp.,Chlorophyceae,Chlorellales,Chlorellaceae,Closteriopsis,F,0,0,0,0,0,G,1885,1885,Maiko,Inba
Closteriopsis spp.,Chlorophyceae,Chlorellales,Chlorellaceae,Closteriopsis,F,0,0,0,0,0,G,,1347.858252,Lin,Ks
Closterium,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2931.370113,Klais,
Closterium acerosum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,452000,Orlane,Gv
Closterium acerosum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,40000,Kanako,
Closterium aciculare,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,9200,9200,Clark,Bw
Closterium aciculare,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,7400,Orlane,Gv
Closterium aciculare,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium aciculare,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,5288.793485,Kremer,
Closterium aciculare var. subpronum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,9200,Kanako,
Closterium acutum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,5200,5200,Clark,Bw
Closterium acutum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,739.3214995,Klais,
Closterium acutum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium acutum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,294.4159097,Kremer,
Closterium acutum subsp. acutum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium acutum v lati,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,6230,Orlane,Gv
Closterium acutum v vari,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,940,Orlane,Gv
Closterium acutum var linea,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,720,Orlane,Gv
Closterium acutum var. variabile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,376.5057634,Klais,
Closterium acutum var. variabile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium acutum var. variabile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,820,Kanako,
Closterium baillyanum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,68437,Kremer,
Closterium cornu,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3845.008172,Kremer,
Closterium cynthia,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,200,Kremer,
Closterium dianae,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium dianae,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,9665.281723,Kremer,
Closterium ehrenbergii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,1560000,Orlane,Gv
Closterium ehrenbergii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,93922.47695,Kremer,
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,"20,000",20000,Clark,Bw
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3900,Orlane,Gv
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,1791,Klais,
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,20000,Kanako,
Closterium gracile,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,1898.913666,Kremer,
Closterium idiosporum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2500,Kremer,
Closterium intermedium,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,28885,Kremer,
Closterium jenneri,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,7343.568615,Kremer,
Closterium jenneri var,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,173,Orlane,Gv
Closterium jenneri var. cynthia,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium kuetzingii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium kuetzingii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,22382.86333,Kremer,
Closterium laterale,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,16000,Kremer,
Closterium limneticum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,1046.744889,Kremer,
Closterium lineatum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3398.888526,Kremer,
Closterium littorale,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3445.105223,Kremer,
Closterium lunula,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium lunula,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,71105.28276,Kremer,
Closterium macilentum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium macilentum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,14787.38201,Kremer,
Closterium monoliferum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,454.6747125,Kremer,
Closterium monoliferum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,73000,Orlane,Gv
Closterium nordstedtii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,15700,Orlane,Gv
Closterium parvulum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium parvulum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,820,Kanako,
Closterium parvulum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2217.69024,Kremer,
Closterium praelongum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,1610.181805,Kremer,
Closterium pronum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium pronum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2914.772091,Kremer,
Closterium ralfsii,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,89059,Kremer,
Closterium setaceum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium setaceum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,494.8721936,Kremer,
Closterium sp,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,350,Cornell,Oneida
Closterium sp.,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,"5,200",5200,Clark,Bw
Closterium sp.,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,72000,Orlane,Gv
Closterium sp.,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,5200,Kanako,
Closterium spp.,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3544.485682,Lin,Ks
Closterium spp.,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,5200,5200,Maiko,Inba
Closterium strigosum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,NA,SCOR,
Closterium strigosum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,3455.533947,Kremer,
Closterium striolatum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,90067.55321,Kremer,
Closterium toxon,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,301,Kremer,
Closterium tumidulum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2682.767062,Kremer,
Closterium tumidum,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,6732,Kremer,
Closterium venus,Conjugatophyceae,Zygnematales,Closteriaceae,Closterium,P,0,0,0,0,0,G,,2365.350925,Kremer,
Coccochloris,Cyanophyceae,Chroococcales,Chroococcaceae,Coccochloris,,0,0,0,1,0,B,,NA,SCOR,
Coccolithales,NA,NA,NA,NA,,0,0,1,0,1,BW,,NA,SCOR,
Coccolithus pelagicus,Prymnesiophyceae,Coccolithales,Coccolithaceae,Coccolithus,,0,0,0,0,1,BW,,NA,SCOR,
Coccomonas sp.,Chlorophyceae,,,Coccomonas,,0,0,0,0,1,G,,500,Kanako,
Coccomonas spp.,Chlorophyceae,,,Coccomonas,,0,0,0,0,1,G,500,500,Maiko,Inba
Coccomyxa,NA,NA,NA,Coccomyxa,,0,0,0,0,1,G,,NA,SCOR,
Coccomyxa dispar,,,,Coccomyxa,,0,0,0,0,1,G,,100,Kanako,
Cocconeis,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,1573.893946,Klais,
Cocconeis,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis costata,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis disculus,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,473.5684566,Kremer,
Cocconeis distans,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis fluviatilis,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,1523.630133,Kremer,
Cocconeis neodiminuta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,302.5798859,Kremer,
Cocconeis pediculus,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,740,Orlane,Gv
Cocconeis pediculus,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis pediculus,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,2931.868061,Kremer,
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,"4,600",4600,Clark,Bw
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,4600,Orlane,Gv
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,2280.901337,Klais,
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,4600,Kanako,
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,718.3648881,Kremer,
Cocconeis placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,1000,Cornell,Oneida
Cocconeis placentula var. euglypta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis placentula var. leneata,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,4600,Kanako,
Cocconeis placentula var. placentula,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis scutellum,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,1096.631662,Klais,
Cocconeis scutellum,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis scutellum,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,2146.167185,Kremer,
Cocconeis scutellum var. parva,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,601.0000003,Klais,
Cocconeis scutellum var. parva,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis scutellum var. scutellum,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,NA,SCOR,
Cocconeis sp.,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,"4,600",4600,Clark,Bw
Cocconeis sp.,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,750,Orlane,Gv
Cocconeis sp.,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,4600,Kanako,
Cocconeis spp.,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,299.5974986,Lin,Ks
Cocconeis thumensis,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,MP,0,1,0,0,0,BW,,77.79764213,Kremer,
Codatella sp.,Chlorophyceae,,,Codatella,,0,0,0,0,0,G,210,210,Maiko,Inba
Codosiga botrys,Choanoflagellatea,Craspedida,Codonosigaceae,Codosiga,,0,0,0,1,1,,,2570,Orlane,Gv
Codosiga sp.,Choanoflagellatea,Craspedida,Codonosigaceae,Codosiga,,0,0,0,1,1,,,1150,Orlane,Gv
Coelastrum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,424.2620348,Klais,
Coelastrum astroideum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,4300,Orlane,Gv
Coelastrum astroideum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,136.8024929,Klais,
Coelastrum astroideum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Maiko,Inba
Coelastrum cambricum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Clark,Bw
Coelastrum cambricum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,18400,Orlane,Gv
Coelastrum cambricum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,610,Kanako,
Coelastrum cambricum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,1896.787186,Kremer,
Coelastrum cambricum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Maiko,Inba
Coelastrum cubicum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,2375,Kremer,
Coelastrum indicum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,14100,Orlane,Gv
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,780,780,Clark,Bw
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,18400,Orlane,Gv
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,614.5898833,Klais,
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,780,Kanako,
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,1203.833176,Kremer,
Coelastrum microporum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,3000,Cornell,Oneida
Coelastrum proboscideum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,194.9029766,Kremer,
Coelastrum pseudomicropo,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,8400,Orlane,Gv
Coelastrum reticulatum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,2900,Orlane,Gv
Coelastrum reticulatum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,1356.664913,Kremer,
Coelastrum reticulatum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Maiko,Inba
Coelastrum reticulatum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,3000,Cornell,Oneida
Coelastrum sp.,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,610,Kanako,
Coelastrum sphaericum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,18400,Orlane,Gv
Coelastrum sphaericum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,1909.275805,Kremer,
Coelastrum sphaericum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Maiko,Inba
Coelastrum spp.,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,,1467.096641,Lin,Ks
Coelastrum spp.,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,J,0,0,0,1,0,G,610,610,Maiko,Inba
Coelomoron,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron,,0,0,0,1,0.5,B,,489.766456,Klais,
Coelomoron,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron,,0,0,0,1,0.5,B,,NA,SCOR,
Coelomoron pusillum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron,,0,0,0,1,0.5,B,,755.1764889,Klais,
Coelosphaerium,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,7.935506991,Klais,
Coelosphaerium,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,NA,SCOR,
Coelosphaerium confertum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,1000,Kanako,
Coelosphaerium kuetzingianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,425.7650933,Klais,
Coelosphaerium kuetzingianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,NA,SCOR,
Coelosphaerium kuetzingianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,3984.50027,Kremer,
Coelosphaerium Kuetzingianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,3000,Kanako,
Coelosphaerium kutzingi,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,650,Orlane,Gv
Coelosphaerium minutissima,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,100,Kanako,
Coelosphaerium minutissimum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,38.23224869,Klais,
Coelosphaerium minutissimum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,NA,SCOR,
Coelosphaerium minutissimum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,181,Kremer,
Coelosphaerium naegelianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,68.188814,Kremer,
Coelosphaerium naegelianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,15000,Cornell,Oneida
Coelosphaerium naegelianum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,6000,Kanako,
Coelosphaerium sp.,Cyanophyceae,Choococcales,Chroococcaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,120,6000,Clark,Bw
Coelosphaerium sp.,Cyanophyceae,Choococcales,Chroococcaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,6000,Kanako,
Coelosphaerium spp.,Cyanophyceae,Choococcales,Chroococcaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,120,6000,Maiko,Inba
Coelosphaerium subarcticum,Cyanophyceae,Synechococcales,Merismopediaceae,Coelosphaerium,L0,0,0,0,1,0.5,B,,NA,SCOR,
Coenochloris,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,,NA,SCOR,
Coenochloris pyren v min,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,,1050,Orlane,Gv
Coenochloris pyrenoidosa,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,,1050,Orlane,Gv
Coenochloris pyrenoidosa,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,220,220,Maiko,Inba
Coenochloris sp.,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,220,220,Clark,Bw
Coenochloris sp.,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,,220,Kanako,
Coenochloris sp.,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,220,220,Maiko,Inba
Coenochloris spp.,Chlorophyceae,Chlorococcales,Radiococcaceae,Coenochloris,F,0,0,0,1,0,G,,293.082477,Lin,Ks
Coenocystis,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,8.999999997,Klais,
Coenocystis,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,NA,SCOR,
Coenocystis planctonica,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,33300,Orlane,Gv
Coenocystis planctonica,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,NA,SCOR,
Coenocystis planctonica,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,100,100,Maiko,Inba
Coenocystis sp.,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,100,100,Clark,Bw
Coenocystis sp.,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,100,Kanako,
Coenocystis spp.,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,293.082477,Lin,Ks
Coenocystis spp.,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,100,100,Maiko,Inba
Coenocystis subcylindric,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,1360,Orlane,Gv
Coenocystis subcylindrica,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis,F,0,0,0,1,0,G,,100,Kanako,
Coerastrum astroideum,Chlorophyceae,Chlorellales,Chlorellaceae,Coerastrum,,0,0,0,0,0,G,610,610,Maiko,Inba
Colacium vesiculosum,Euglenoidea,,,Colacium,,0,0,0,1,1,G,,2360,Klais,
Colacium vesiculosum,Euglenoidea,,,Colacium,W2,0,0,0,1,1,G,,NA,SCOR,
Comasiella arcuata var. platydisca,Chlorophyceae,Sphaeropleales,Scenedesmaceae,NA,,0,0,0,1,0,G,,NA,SCOR,
Conticribra guillardii,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,,0,1,0,0,0,BW,,368.0457227,Klais,
Conticribra guillardii,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,,0,1,0,0,0,BW,,NA,SCOR,
Conticribra weissflogii,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,,0,1,0,0,0,BW,,2379.425933,Klais,
Conticribra weissflogii,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,,0,1,0,0,0,BW,,NA,SCOR,
Corethron,Bacillariophyceae,Corethrales,Corethraceae,Corethron,,0,1,0,0,0,BW,,NA,SCOR,
Corethron hystrix,Bacillariophyceae,Corethrales,Corethraceae,Corethron,,0,1,0,0,0,BW,,NA,SCOR,
Corethron pennatum,Bacillariophyceae,Corethrales,Corethraceae,Corethron,,0,1,0,0,0,BW,,12241,Klais,
Corethron pennatum,Bacillariophyceae,Corethrales,Corethraceae,Corethron,,0,1,0,0,0,BW,,NA,SCOR,
Coronastrum ellipsoideum,Chlorophyceae,Chlorellales,Chlorellaceae,Coronastrum,,0,0,0,1,0,G,,NA,SCOR,
Coronastrum lunatum,Chlorophyceae,Chlorellales,Chlorellaceae,Coronastrum,,0,0,0,1,0,G,502656,502656,Maiko,Inba
Coronastrum spp.,Chlorophyceae,Chlorellales,Chlorellaceae,Coronastrum,,0,0,0,1,0,G,,225.6672569,Lin,Ks
Coronastrum spp.,Chlorophyceae,Chlorellales,Chlorellaceae,Coronastrum,,0,0,0,1,0,G,502656,502656,Maiko,Inba
Corymbellus aureus,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Corymbellus,,0,0,1,0,1,BW,,NA,SCOR,
